"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:3EQ5NMRe6yUdjKNpRwiYFp","Chalk Outlines","spotify:artist:0Repe2EiNjaFAFIukrroUM, spotify:artist:7iNrvS80wnHDGVxw3qNRiI","Ren, CHINCHILLA","spotify:album:5Ul6u21wHyjzkGFdrTkMSV","Chalk Outlines","spotify:artist:0Repe2EiNjaFAFIukrroUM, spotify:artist:7iNrvS80wnHDGVxw3qNRiI","Ren, CHINCHILLA","2021-12-15","https://i.scdn.co/image/ab67616d0000b273128c16ae2cd5fffde7f2f1e3","1","1","233594","https://p.scdn.co/mp3-preview/500c34246df20eac452aeb08ebe8fd9249c18bfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GB2DY2100931","","2026-02-09T08:29:20Z"
"spotify:track:0hOSqyREsIWPGj1BnYgJfu","Monopoly Money","spotify:artist:4Qvflafuw7a0F2E3NonxsA","Moon Walker","spotify:album:3nMf9nviJIgICniBUr3Cl2","Is This The World You Wanted?","spotify:artist:4Qvflafuw7a0F2E3NonxsA","Moon Walker","2024-11-07","https://i.scdn.co/image/ab67616d0000b273e25701c552048cae68d4d482","1","3","177017","https://p.scdn.co/mp3-preview/88fc362c58692c04291e739cacef159d1bce392c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QZFYZ2545463","","2026-02-09T08:22:33Z"
"spotify:track:1UMdbkqX19OiwfExH7gzYA","Through The Fire And Flames","spotify:artist:2pH3wEn4eYlMMIIQyKPbVR","DragonForce","spotify:album:0v2dlZrkVAjKdkwpjoKzPG","Inhuman Rampage","spotify:artist:2pH3wEn4eYlMMIIQyKPbVR","DragonForce","2006-09-01","https://i.scdn.co/image/ab67616d0000b2731f867e23a295217e98674bba","1","1","439120","https://p.scdn.co/mp3-preview/4578bc690df193a85eca53bbcdbafbf2f20c2f5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","FIUM72000106","","2026-02-08T19:00:32Z"
"spotify:track:0WOF6JQXZF0EDbrn5PMewI","TAKO∞TAKOVER","spotify:artist:3iPvwu8p75fYRa0V4wi8gN","Ninomae Ina’nis","spotify:album:0jf3JoEBlVD1H5Geqe2b2V","TAKO∞TAKOVER","spotify:artist:3iPvwu8p75fYRa0V4wi8gN","Ninomae Ina’nis","2026-01-08","https://i.scdn.co/image/ab67616d0000b273c8f03e02aeef5dfef03285db","1","1","217000","https://p.scdn.co/mp3-preview/6be9ab124eabd765f0a8057ac5a6bb45abc6baee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","JPA3C2500000","","2026-02-07T23:45:38Z"
"spotify:track:3jq3NxsPcLLoELeBZXKtMB","EGO","spotify:artist:6UCFRdg4ySMWj6O4QRKyZs","Takanashi Kiara","spotify:album:1HvuUTn7ImZm96V6W7Wo6G","Vogelfrei","spotify:artist:6UCFRdg4ySMWj6O4QRKyZs","Takanashi Kiara","2026-02-08","https://i.scdn.co/image/ab67616d0000b273d328f45f8767512b233e658e","1","2","164680","https://p.scdn.co/mp3-preview/06ec084a9611995740ea74c7131b99692132f4e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","JPA3C2600013","","2026-02-07T23:45:22Z"
"spotify:track:73dw8LNoakXL4QPbxeSJXu","God Only Knows","spotify:artist:1shXNlFBxaYDCY2IB24aE1","bitbreaker","spotify:album:0OE376M8LIv8iXNggzioV5","God Only Knows","spotify:artist:1shXNlFBxaYDCY2IB24aE1","bitbreaker","2025-08-13","https://i.scdn.co/image/ab67616d0000b2733a4b2c472734d5713121b918","1","1","281797","https://p.scdn.co/mp3-preview/44c364e9bdc2c89b385cf22cae92b4a16859735b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","QZWFL2551216","","2026-02-06T20:46:16Z"
"spotify:track:0oADwEBexmn1EtZuRxWIsm","You Make Me Sick","spotify:artist:1shXNlFBxaYDCY2IB24aE1","bitbreaker","spotify:album:6R69yw8Gm4xIl79GDLwDHF","You Make Me Sick","spotify:artist:1shXNlFBxaYDCY2IB24aE1","bitbreaker","2026-02-06","https://i.scdn.co/image/ab67616d0000b273c244865a3f644ddf8c261269","1","1","228131","https://p.scdn.co/mp3-preview/77a1abec4ebc6b7112cc81d360c6d4e3b9f8f9a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZDA42693079","","2026-02-06T16:49:37Z"
"spotify:track:6JXDumCYpmkYyqO3g1tzdO","KAWAII100% (feat. 初音ミク&重音テト)","spotify:artist:7ylTFjdr6lbBsuQdHWQwtc, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl, spotify:artist:7Al85ZdCo2ZoQiBghDSj7o","めろくる, Hatsune Miku, 重音テト","spotify:album:2RZyXLYYD8bpB0dSPQ7Gcb","KAWAII100%","spotify:artist:7ylTFjdr6lbBsuQdHWQwtc, spotify:artist:6pNgnvzBa6Bthsv8SrZJYl, spotify:artist:7Al85ZdCo2ZoQiBghDSj7o","めろくる, Hatsune Miku, 重音テト","2026-01-31","https://i.scdn.co/image/ab67616d0000b273d1f9079dc9435ec323d4e279","1","1","180517","https://p.scdn.co/mp3-preview/1645e4778b96d8821aeb73e99cd8548709f38cdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","JP92Q2600140","","2026-02-05T22:06:36Z"
"spotify:track:6n7Dyz4hcykM6lV3Z8wckw","come to brazil","spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz","bbno$","spotify:album:6NnOcPG7uLUSpJTS83Ra1T","bbno$","spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz","bbno$","2025-10-17","https://i.scdn.co/image/ab67616d0000b2739cd48ea54f12cdd1a244ce51","1","7","133040","https://p.scdn.co/mp3-preview/20a89bfa87cd38710c8d3fa2b7672786e39e9dee?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","CA5KR2588459","","2026-02-05T21:51:44Z"
"spotify:track:30VSsTaW7bfvf8tlfxA7Eq","MADURO","spotify:artist:77avA3qzF6itxvXlb2mmNy","Rucka Rucka Ali","spotify:album:4WjN6thygrpQxBKiQo0NFs","MADURO","spotify:artist:77avA3qzF6itxvXlb2mmNy","Rucka Rucka Ali","2026-02-04","https://i.scdn.co/image/ab67616d0000b2737884b570efe51e36d44bb20c","1","1","209991","https://p.scdn.co/mp3-preview/879b0c431dd3d8e21065836def2dafc10c0f5bb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","QZL382626624","","2026-02-04T05:58:06Z"
"spotify:track:6JTKIIoBs10UFatAk9HTZJ","To My Biggest Fan","spotify:artist:6C4kQU9MkmQCgXKEkbJKbv","beat_shobon","spotify:album:1tEsHuH8lXl4kyGCt5r3Pr","DAEMON/DOLL","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Varios Artistas","2024-04-01","https://i.scdn.co/image/ab67616d0000b273e5855368536be73ee6fdd240","1","1","269216","https://p.scdn.co/mp3-preview/ef4fe7275b6d8bc2d94b50a51de786ca9ae143ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZPJ32342600","","2026-02-02T22:11:37Z"
"spotify:track:4Ri7HgYsTqCoNqHI2S7wVB","Dead On Arrival","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","spotify:album:4JZmR6EA9NnuxrfaelHn5Y","UnAlive","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2022-03-21","https://i.scdn.co/image/ab67616d0000b27341a38c9801ca2da63ede5cd1","1","3","243000","https://p.scdn.co/mp3-preview/5f2fa494e75b22c5401ef39e170a7c2a0a97ac81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","JPV752205658","","2026-02-01T11:42:56Z"
"spotify:track:1ffXf7HjLCHvNZngkQpGTR","Off With Their Heads","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","spotify:album:3hBrB47K3z7yDrZRVW8u2W","Off With Their Heads","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2021-02-02","https://i.scdn.co/image/ab67616d0000b2736f98d8da9d85e339441adc7c","1","1","218269","https://p.scdn.co/mp3-preview/2d9c9953b92c9bd153b0e594149604c71eed8f0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPV752003959","","2026-02-01T11:42:50Z"
"spotify:track:6bI6To4KlW4oqQiUwoBN0Z","Dance Past Midnight","spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:4sf4DrAOkheqktxTyKm7tO","Mori Calliope, AmaLee","spotify:album:4rDKCCOutbqoVQhNzQYJdD","SINDERELLA","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2022-12-15","https://i.scdn.co/image/ab67616d0000b273681ddd99071704a638414014","1","8","228213","https://p.scdn.co/mp3-preview/88494540a000dcbb14a18eeaa573b6bdf6d8a189?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","JPPO02204464","","2026-02-01T11:42:34Z"
"spotify:track:6cLd2xZirorZbZY5500XDA","Die For You","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","spotify:album:2pLF47SOE8fRwUy31Wesl6","Die For You","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2025-05-17","https://i.scdn.co/image/ab67616d0000b273033a6ced84148762bbb7a567","1","1","219561","https://p.scdn.co/mp3-preview/cf591c0d974a9aaf14f0315b125b3b7dc4b78bad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPPO02501245","","2026-02-01T11:41:33Z"
"spotify:track:2b4OGV2zPRqboRMdnHsaEK","skeletons","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","spotify:album:5tZME90UhKL46KuK5tjUvD","PHANTOMIME","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2024-08-16","https://i.scdn.co/image/ab67616d0000b2734decfba07e62fcd26eaedc6c","1","8","235013","https://p.scdn.co/mp3-preview/9f3c0103814dc59abf822a0ab495eabaaefce0eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPPO02403415","","2026-02-01T11:41:17Z"
"spotify:track:2F91gzFzuZcfX5NwU34cZw","Wicked feat. Mori Calliope","spotify:artist:726WiFmWkohzodUxK3XjHX, spotify:artist:1PhE6rv0146ZTQosoPDjk8","Hoshimachi Suisei, Mori Calliope","spotify:album:02tQIjxtgO0c5UAPYYzGAt","TEMPLATE／Wicked feat. Mori Calliope","spotify:artist:726WiFmWkohzodUxK3XjHX","Hoshimachi Suisei","2022-04-01","https://i.scdn.co/image/ab67616d0000b2733ec18cbf0bc4fa2aacc4a144","1","2","173854","https://p.scdn.co/mp3-preview/7627ef933575cb3e1c9971b85ef52c9dec29c0c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","JPV752205655","","2026-02-01T11:41:08Z"
"spotify:track:2QC9k5BwDKyOGMwBUnqyOZ","through the blue","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","spotify:album:5tZME90UhKL46KuK5tjUvD","PHANTOMIME","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2024-08-16","https://i.scdn.co/image/ab67616d0000b2734decfba07e62fcd26eaedc6c","1","10","229933","https://p.scdn.co/mp3-preview/9f2f75783ee8499263efb81497f6134e7ca46971?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPPO02403417","","2026-02-01T11:36:32Z"
"spotify:track:7aDrJbO2oxuEKG9HMehSON","Wanted, Wasted","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","spotify:album:4rDKCCOutbqoVQhNzQYJdD","SINDERELLA","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2022-12-15","https://i.scdn.co/image/ab67616d0000b273681ddd99071704a638414014","1","2","183426","https://p.scdn.co/mp3-preview/c21543e38b601b70d2917980159feb8ff870cd83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","JPPO02204460","","2026-02-01T11:32:47Z"
"spotify:track:4M7mmhZvhN1wBypbu0Z0zY","CapSule","spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:726WiFmWkohzodUxK3XjHX","Mori Calliope, Hoshimachi Suisei","spotify:album:6GsX8yyTYKzLxYoKoSdydQ","CapSule","spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:726WiFmWkohzodUxK3XjHX","Mori Calliope, Hoshimachi Suisei","2022-04-04","https://i.scdn.co/image/ab67616d0000b27303e6273af3cc82b42c40540b","1","1","174842","https://p.scdn.co/mp3-preview/4f849a6651c348e355e42fa5fe4a294b2e51cf38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","JPPO02201020","","2026-02-01T11:32:06Z"
"spotify:track:5QNhLQXwvqwC97oRSqsIae","Gold Unbalance","spotify:artist:1PhE6rv0146ZTQosoPDjk8, spotify:artist:3KJigfhLjMfuE2HXsgXbln","Mori Calliope, 中島健人","spotify:album:6YZgsSoo9i8Kxw1t6zXB36","Gold Unbalance","spotify:artist:1PhE6rv0146ZTQosoPDjk8","Mori Calliope","2025-11-21","https://i.scdn.co/image/ab67616d0000b273987b16f447fc23315eb0cbc7","1","1","192413","https://p.scdn.co/mp3-preview/840b542ad88554e80d7619ac2e92bc873eb2512e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","JPPO02503973","","2026-02-01T11:31:13Z"
"spotify:track:3W9qs513ZgVEqK0EN9Okjt","Baumkuchen_EndCredits","spotify:artist:6gsYua8nnnutLOGReIJHsK","amala","spotify:album:1X4eosGFqxc1vzqAkWnWq4","Baumkuchen_EndCredits","spotify:artist:6gsYua8nnnutLOGReIJHsK","amala","2025-12-27","https://i.scdn.co/image/ab67616d0000b2736051806a47574a287374ae7b","1","1","144720","https://p.scdn.co/mp3-preview/c6e8594ba2bf0ffbce3e2666cbbb4151edabd844?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QT66L2592324","","2026-02-01T00:56:15Z"
