URI de la canción,Nombre de la canción,URI(s) del artista,Nombre(s) del artista,URI del álbum,Nombre del álbum,URI(s) del artista del álbum,Nombre(s) del artista del álbum,Fecha de lanzamiento del álbum,URL de la imagen del álbum,Número de disco,Número de la canción,Duración de la canción (ms),URL de vista previa de la canción,Explícito,Popularidad,ISRC,Añadido por,Añadido en
spotify:track:4GGKPjXjJcOiSTNlx0K8Zf,Tocarte el Culo,spotify:artist:1R2OVmzMmXbmRD1NUWEtnY,Babylon,spotify:album:1h18V6IlGwYOjpIpGKfeGk,Ojalá Fuera Más Fácil,spotify:artist:1R2OVmzMmXbmRD1NUWEtnY,Babylon,2025-01-25,https://i.scdn.co/image/ab67616d0000b273ee4e88886c17529485564c91,1,3,169442,https://p.scdn.co/mp3-preview/70b40f88fb4d95477145833023ea76f70528e7fa?cid=9950ac751e34487dbbe027c4fd7f8e99,True,8,US7VG2557439,,2025-11-30T22:32:19Z
spotify:track:2wYeNYXqBC1ZqnnmC92gwT,Tokyo Friday Night (feat. Kana Hanazawa & Mori Calliope),"spotify:artist:74RJ7LQOOa3A0FiCw15PxG, spotify:artist:44u07DJH5eTBDjhZ7LpMO0, spotify:artist:1PhE6rv0146ZTQosoPDjk8","Joint Beauty, Kana Hanazawa, Mori Calliope",spotify:album:4wf9bXwqHywlpNo4vvQb8E,Tokyo Friday Night (feat. Kana Hanazawa & Mori Calliope),spotify:artist:74RJ7LQOOa3A0FiCw15PxG,Joint Beauty,2024-06-12,https://i.scdn.co/image/ab67616d0000b27364a3066f353274899f499c84,1,1,181562,https://p.scdn.co/mp3-preview/c5991e51234577cdc1cecc20d8d0babe1a916162?cid=9950ac751e34487dbbe027c4fd7f8e99,False,32,TCJPA2451972,,2025-09-22T10:59:45Z
spotify:track:4eChbtoFoOmWQt03aRDzaJ,Tot Musica,spotify:artist:6mEQK9m2krja6X1cfsAjfl,Ado,spotify:album:7Ixqxq13tWhrbnIabk3172,UTA'S SONGS ONE PIECE FILM RED,spotify:artist:6mEQK9m2krja6X1cfsAjfl,Ado,2022-08-10,https://i.scdn.co/image/ab67616d0000b2730cbecafa929898c82adc519c,1,5,195226,https://p.scdn.co/mp3-preview/150431944b63ea31cdb9ef043d9136922166b43b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,JPPO02202654,,2026-01-16T09:27:42Z
spotify:track:7yhner30BgcXSmxanpvqDi,Toxicity,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,spotify:album:6mWJAq9L9IHhqa4CmJ1fii,Nice 2000s,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Varios Artistas,2008-02-29,https://i.scdn.co/image/ab67616d0000b273a2c63ada20f6fca1ce2edc76,1,15,220306,https://p.scdn.co/mp3-preview/90b9fa2e17fda4a2cdf7bdcd881c8d57dea5247e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,USSM10107262,,2025-10-24T09:09:10Z
spotify:track:1r2yoancDZmJndtKZk9NJP,Treat Jew Better,spotify:artist:77avA3qzF6itxvXlb2mmNy,Rucka Rucka Ali,spotify:album:1n0n5Faq9dc3O2UUComH1G,Treat Jew Better,spotify:artist:77avA3qzF6itxvXlb2mmNy,Rucka Rucka Ali,2017-10-26,https://i.scdn.co/image/ab67616d0000b27313e87020be6ceb98c6ffa499,1,1,186825,https://p.scdn.co/mp3-preview/d3f4b202d5e1dc54624986dc8c7a42aede53cad3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,0,TCADG1771431,,2024-08-14T19:14:05Z
spotify:track:6DRZmJa38MaMNthwG3fCBD,two,spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz,bbno$,spotify:album:5yc8yPsnUud3i8v9Ran8oQ,two,spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz,bbno$,2024-10-04,https://i.scdn.co/image/ab67616d0000b27351c9a03736674f07f081d940,1,1,135212,https://p.scdn.co/mp3-preview/0c135aa02cfe975a3dcea92dd37d847fbbad5258?cid=9950ac751e34487dbbe027c4fd7f8e99,True,70,QM24S2405396,,2025-11-09T22:56:19Z
spotify:track:0U0swpLFeIJV1bP9QjSkyz,UnAlive,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,spotify:album:4JZmR6EA9NnuxrfaelHn5Y,UnAlive,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,2022-03-21,https://i.scdn.co/image/ab67616d0000b27341a38c9801ca2da63ede5cd1,1,1,316000,https://p.scdn.co/mp3-preview/e19ed481f9eb6dc65c7174eedb1743b6c12ebd40?cid=9950ac751e34487dbbe027c4fd7f8e99,False,35,JPV752205656,,2025-10-28T23:15:12Z
spotify:track:0dneQnyl74KhzsTE0MuWax,Underground,spotify:artist:7x83XhcMbOTl1UdYsPTuZM,Tom Waits,spotify:album:44XWi49ZWX8MUiikmeRQ9O,Wine & Cheese,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Varios Artistas,2023-12-16,https://i.scdn.co/image/ab67616d0000b27385f272f6096024ed15e86433,1,29,118826,https://p.scdn.co/mp3-preview/e8d55aea283b10cd4dc77ad72fbdaf8d0b783e25?cid=9950ac751e34487dbbe027c4fd7f8e99,False,0,USIR28300383,,2025-09-16T18:46:35Z
spotify:track:6cOvUtfVnZvNXbYG8RRpyF,"Usubeni (From ""Dragon Ball Super"") - Ending 3","spotify:artist:1DfjBroQEx4Y129gEL1jIW, spotify:artist:4OVkGBRfxO14vF8qyojz6R, spotify:artist:3Spcys1cwfvrFMbdN4v10n","Proyecto: DragonBall FanDub, Zpawn, Arnold02",spotify:album:3YH2ZWmBBXQTXtmQIxloqR,"Usubeni (From ""Dragon Ball Super"") [Ending 3]","spotify:artist:1DfjBroQEx4Y129gEL1jIW, spotify:artist:4OVkGBRfxO14vF8qyojz6R","Proyecto: DragonBall FanDub, Zpawn",2023-07-26,https://i.scdn.co/image/ab67616d0000b273314cfc78b4c60a50d0a17f10,1,1,262295,https://p.scdn.co/mp3-preview/9f2314cfee6b1afa33bc17af44fbb6f35b40e37c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,53,QZPJ32280938,,2024-10-22T06:54:33Z
spotify:track:0ZfTFnhjfeexg7HGbxshxY,Vicinity Of Obscenity,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,spotify:album:3qL21V8J9Zj8X00Qlgvj6l,Hypnotize,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,2005-11-22,https://i.scdn.co/image/ab67616d0000b273645d6b9074c9a419f4413591,1,9,171840,https://p.scdn.co/mp3-preview/420834ec06853db4fe927282d8e35044946de990?cid=9950ac751e34487dbbe027c4fd7f8e99,False,43,USSM10505338,,2025-08-18T08:19:46Z
spotify:track:4fb3uBZCBWijnTANMJdN32,Villain Vibes (feat. Mori Calliope),"spotify:artist:4sf4DrAOkheqktxTyKm7tO, spotify:artist:1PhE6rv0146ZTQosoPDjk8","AmaLee, Mori Calliope",spotify:album:3HUbOOeUBHI0IiVllK9wHD,Rise of the Monarch,spotify:artist:4sf4DrAOkheqktxTyKm7tO,AmaLee,2022-06-24,https://i.scdn.co/image/ab67616d0000b273cda5ff15165f9f7af3d9a5e3,1,5,198620,https://p.scdn.co/mp3-preview/60bb5b4a814215fdc4c1ee561126b83b6adbe7d0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,45,QZPJ32177770,,2024-04-15T12:45:33Z
spotify:track:5KyuddPRTSgiwk7zGO1hvE,Violet's Tale,spotify:artist:0Repe2EiNjaFAFIukrroUM,Ren,spotify:album:4NCdHtDhwTl24uUI8fVc71,Violet's Tale,spotify:artist:0Repe2EiNjaFAFIukrroUM,Ren,2022-07-29,https://i.scdn.co/image/ab67616d0000b273bc8eee8972fb44661878a2de,1,2,344000,https://p.scdn.co/mp3-preview/31e360fb84df4ca03414ee3dc7ea732daffb526f?cid=9950ac751e34487dbbe027c4fd7f8e99,True,62,TCAGI2226456,,2025-06-10T13:22:14Z
spotify:track:5nJaS3PEpyPfaWiLxIGtRX,Virtual Diva,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,Don Omar,spotify:album:20Jf4Vb1V3MMv1QI1cKNNI,iDon,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,Don Omar,2009-01-01,https://i.scdn.co/image/ab67616d0000b2739a5ca92aab056506d2b44316,1,2,239493,https://p.scdn.co/mp3-preview/8565695abc1a798f6aa68988ef501cb51f8d951a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,76,USUM70959802,,2025-01-03T21:50:21Z
spotify:track:5XUuldRjPXcP5QxyEN4IXT,Voices In My Head,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,spotify:album:7r9WVGq5YRQ4eeYUYzmk8b,Voices In My Head,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,2022-05-31,https://i.scdn.co/image/ab67616d0000b273338a7a86b31e1f3866fa91a8,1,1,191414,https://p.scdn.co/mp3-preview/8fb633f57041ccc16a74528c89fc7f0dcc268d00?cid=9950ac751e34487dbbe027c4fd7f8e99,True,62,USEP42231001,,2024-05-24T12:15:30Z
spotify:track:7aDrJbO2oxuEKG9HMehSON,"Wanted, Wasted",spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,spotify:album:4rDKCCOutbqoVQhNzQYJdD,SINDERELLA,spotify:artist:1PhE6rv0146ZTQosoPDjk8,Mori Calliope,2022-12-15,https://i.scdn.co/image/ab67616d0000b273681ddd99071704a638414014,1,2,183426,https://p.scdn.co/mp3-preview/c21543e38b601b70d2917980159feb8ff870cd83?cid=9950ac751e34487dbbe027c4fd7f8e99,False,46,JPPO02204460,,2026-02-01T11:32:47Z
spotify:track:4CiVz4bw7X1zjCaJ5ZwxUS,Watch The World Burn,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,spotify:album:5SjHojBg6zfZHMqWYjFzFE,Watch The World Burn,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,2023-01-31,https://i.scdn.co/image/ab67616d0000b273589d284fd2bc297a71a7e660,1,1,203948,https://p.scdn.co/mp3-preview/ba93462ec989edfa0b96c4a05c9d08550349dc5b?cid=9950ac751e34487dbbe027c4fd7f8e99,True,66,USEP42231004,,2024-05-22T10:54:43Z
spotify:track:3pWvRhml43vlUrGYlIzLM6,We Drink Your Blood,spotify:artist:5HFkc3t0HYETL4JeEbDB1v,Powerwolf,spotify:album:1MSxQKpaZ2nPubMVQi9V3N,Blood of the Saints,spotify:artist:5HFkc3t0HYETL4JeEbDB1v,Powerwolf,2011-08-02,https://i.scdn.co/image/ab67616d0000b27346c550081a2f5674e2cf608d,1,3,222560,https://p.scdn.co/mp3-preview/c62794c697dadc6140ca855dd73c4e7601c8737c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,USMBR1108248,,2025-08-21T12:27:44Z
spotify:track:1MUExGawtk7kNqKaMO28wD,weapon,spotify:artist:6yhD1KjhLxIETFF7vIRf8B,Against The Current,spotify:album:3MBuWCEWssM1Yc7JmvuYB7,weapon,spotify:artist:6yhD1KjhLxIETFF7vIRf8B,Against The Current,2021-03-10,https://i.scdn.co/image/ab67616d0000b273d557ec1b2bbcc949b8603db1,1,1,197209,https://p.scdn.co/mp3-preview/c94ee4ee6fb0795cbfff2f6ea48be3a53f9a477a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,USAT22100747,,2024-05-30T08:11:03Z
spotify:track:6SLi5uLhGtspZ5ZDJRBwZD,Wellerman,"spotify:artist:2IeMt1qx6ZVt1HFjdfE5tl, spotify:artist:6jDwZUFYUH1dC4xWzOd8QU, spotify:artist:2hwZ6O8nd7zKSUqRhYPo5U, spotify:artist:4qLXjZxA7GUcgU8gaS2FP3, spotify:artist:4IF11U0nzFhAaLDGZH3vSx","Jonathan Young, Caleb Hyles, Colm R. McGuinness, Annapantsu, RichaadEB",spotify:album:7LoQpTi1lx4uH4CDS6HgqC,Sea Shanty Metal,"spotify:artist:2IeMt1qx6ZVt1HFjdfE5tl, spotify:artist:2hwZ6O8nd7zKSUqRhYPo5U, spotify:artist:6jDwZUFYUH1dC4xWzOd8QU","Jonathan Young, Colm R. McGuinness, Caleb Hyles",2024-05-08,https://i.scdn.co/image/ab67616d0000b27327121daa8136d00aa6402726,1,1,171381,https://p.scdn.co/mp3-preview/0fc9f19ac8d4f2e776fc807fe5d9567d4a37cd7e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,QZPEW2425873,,2024-05-11T11:49:46Z
spotify:track:1Z7BrDjPAQjgmtP8uWwFT1,What Is This Teto Pear Doing On The Calculator,spotify:artist:4BljHhsTuiZVixqPr4iiUz,Barnakull,spotify:album:5qGE6HCnTlEQajYoCiE5Ef,What Is This Teto Pear Doing On The Calculator,spotify:artist:4BljHhsTuiZVixqPr4iiUz,Barnakull,2025-11-22,https://i.scdn.co/image/ab67616d0000b273c774caa2931d678946ce8a6a,1,1,88695,https://p.scdn.co/mp3-preview/cb98d986cbe4080cbb78e3da19619750dfce61a9?cid=9950ac751e34487dbbe027c4fd7f8e99,True,40,QT6F42563449,,2025-12-02T22:29:34Z
